Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Bodega Emina,2016,1236671,Pasión 2016,3.4,316,4.95,Ribera del Duero
Castillo de Albai,2013,2279717,Reserva Rioja 2013,3.6,743,4.95,Rioja
Valdubon,2018,1278992,Tempranillo 2018,3.3,162,4.95,Ribera del Duero
Casado Morales,2014,1291170,EME Graciano 2014,3.6,32,3.8,Rioja Alavesa
La Veguilla,2020,1665435,Roble 2020,3.5,37,4.95,Ribera del Duero
Volver,2013,84148,Wrongo Dongo Monastrell 2013,3.4,270,4.85,Jumilla
Más Que Vinos,2018,1100822,Ercavio Tempranillo Joven 2018,3.3,29,4.95,Castilla
Dominio de Eguren,2017,9399,Códice 2017,3.5,268,4.0,Castilla y León
Aldeya,2020,1286987,Garnacha 2020,3.7,83,4.6,Cariñena
Garriguella,2020,1196777,Dinarells Tinto 2020,3.2,56,3.32,Empordà
Carlos Serres,2018,1525045,Rioja Crianza 2018,3.9,1420,3.99,Rioja
Martinez Lacuesta,2014,1117356,Rioja Crianza 2014,3.7,702,4.94,Rioja
Dominio de Eguren,2018,9399,Códice 2018,3.6,172,4.65,Castilla y León
Rioja Vega,2018,1242975,Garnacha - Graciano 2018,3.6,65,4.75,Rioja
Señorio de Los Llanos,2015,1149883,Crianza 2015,3.1,738,4.01,Valdepeñas
Osborne,2019,2915910,Solaz Tempranillo 2019,3.5,364,3.5,Castilla
Freixenet,2020,1143733,Mederaño Tinto 2020,3.4,122,4.95,Castilla
Luis Alegre,2018,1200035,Rioja Crianza 2018,3.9,240,4.95,Rioja
Tobia,N.V.,8447360,Tobía Cuvée Tinto N.V.,3.7,56,4.95,Rioja
Finca Antigua,2016,13940,Petit Verdot 2016,3.9,195,4.94,La Mancha
Mayor de Castilla,2014,1133835,Ribera del Duero Reserva 2014,3.8,210,4.95,Ribera del Duero
Burgo Viejo,2016,1287281,Rioja Crianza 2016,3.8,2059,4.95,Rioja
Marqués de Riscal,2015,1852661,Arienzo Rioja Crianza 2015,3.6,2449,3.76,Rioja
Félix Solís,2015,1823360,Viña Albali Reserva 2015,3.4,4337,4.1,Valdepeñas
Bach,2019,1255221,Viña Extrísima Tinto 2019,3.1,284,3.89,Cataluña
Arnegui,2016,1710204,Tempranillo Rioja 2016,3.4,464,4.9,Rioja
Francisco Casas,2015,1937107,Viña Abba Tinta de Toro 2015,3.9,262,4.95,Toro
Senorio del Bierzo,2012,2271356,Mencia Centenaria 2012,3.4,46,4.95,Bierzo
Félix Solís,2016,22771,Viña Albali Crianza 2016,3.3,917,4.95,Valdepeñas
Señorío de Andión,2011,22624,Tinto 2011,3.8,81,4.95,Navarra
Vinos del Viento - Michael Cooper,2015,5049890,Seleccion Especial Cariñena 2015,4.0,55,4.95,Cariñena
Vallvé & Guevara,2015,3164872,Princep 2015,4.0,216,4.95,Priorato
Juan de Juanes,2019,1841697,Vendimia Bronce Tinto 2019,3.4,30,3.5,Valencia
Crapula,2013,1639326,Celebre Roble 2013,3.7,48,4.93,Jumilla
Celler del Roure,2013,1297022,Setze Gallets 2013,3.2,188,4.9,Valencia
Balcona,2014,3332162,Mabal 2014,3.4,37,4.95,Bullas
Bodegas Aragonesas,2019,1144372,Coto de Hayas Garnacha - Syrah 2019,3.4,181,3.26,Aragón
Señorío de Nava,2020,1136539,Ribera del Duero Tinto Joven 2020,3.4,59,4.95,Ribera del Duero
Bodegas Obergo,2020,1199027,Caramelos Garnacha 2020,3.8,58,4.95,Somontano
Convento San Francisco,2018,4779284,Crianza Ribera del Duero 2018,3.9,41,4.94,Ribera del Duero
Valdelosfrailes,2006,78468,Prestigio 2006,4.1,118,4.94,Cigales
Alcorta,2018,6447370,Roble 2018,3.5,76,4.94,Ribera del Duero
