Clase,Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región,Categoría,Sello_calidad
Tinto,Borsao Bodegas,2020,1657138,Joven (Selección) 2020,3.3,43,4.85,Campo de Borja,Joven,Denominación de Origen
Tinto,Dominio de Eguren,2016,9399,Códice 2016,3.2,268,4.85,Castilla y León,Reserva,Sin denominación
Tinto,Bodegas Ochoa,2019,1787783,Calendas Tinto 2019,3.5,76,4.9,Navarra,Roble,Denominación de Origen
Tinto,Ayuso,2016,1138136,Estola Reserva 2016,3.6,572,4.9,La Mancha,Reserva,Denominación de Origen
Tinto,Laus,2020,5465255,Tinto Joven 2020,3.4,125,4.9,Somontano,Joven,Denominación de Origen
Tinto,Castillo Perelada,2021,2352415,Empordà Jardins Negre 2021,3.3,36,4.94,Empordà,Joven,Denominación de Origen
Tinto,Hacienda Zorita Natural Reserve,2019,1590758,Crianza 2019,3.3,48,4.95,Castilla y León,Crianza,Sin denominación
Tinto,Celler Cooperatiu d'Espolla,2019,1189721,Vinya Orlina Tinto 2019,3.1,27,4.95,Empordà,Roble,Denominación de Origen
Tinto,Enate,2019,1158423,Tapas Tempranillo 2019,3.5,145,4.95,Somontano,Roble,Denominación de Origen
Tinto,Castaño,2020,85749,Dominio Espinal Tinto 2020,3.3,29,4.95,Yecla,Roble,Denominación de Origen
Tinto,Félix Solís,2019,3993003,Casa Albali Gran Selección 2019,3.6,100,4.95,Valdepeñas,Roble,Denominación de Origen
Tinto,Arnegui,2018,1710204,Tempranillo Rioja 2018,3.6,266,4.95,Rioja,Crianza,Denominación de Origen
Tinto,Atalaya,2021,1193347,Laya 2021,3.8,111,4.95,Almansa,Joven,Denominación de Origen
Tinto,Arnegui,2020,1710204,Tempranillo Rioja 2020,3.5,155,4.95,Rioja,Roble,Denominación de Origen
Tinto,La Purisima,2019,2283507,Monastrell 2019,3.5,153,4.95,Yecla,Roble,Denominación de Origen
Tinto,Estancia Piedra,2020,7052007,Cantadal Joven 2020,3.5,104,4.96,Toro,Joven,Denominación de Origen
Tinto,Carlos Serres,2021,1477639,Rioja Tempranillo 2021,3.6,55,4.99,Rioja,Joven,Denominación de Origen
Tinto,Finca Manzanos,2019,4188323,Garnacha 2019,3.6,63,4.99,Rioja,Roble,Denominación de Origen
Tinto,Félix Solís,2020,5445838,The Guv’nor N.V.,4.0,15210,4.99,Valdepeñas,Roble,Denominación de Origen
