Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Dominio de Es,2019,2022997,Viñas Viejas de Soria Ribera Del Duero 2019,4.4,91,75.95,Ribera del Duero
Bodegas San Román,2016,5406439,Cartago Paraje de Pozo 2016,4.5,76,75.95,Toro
Viña Sastre,2016,736588,Pago de Santa Cruz 2016,4.5,517,75.95,Ribera del Duero
Marqués de Riscal,2015,2026372,Barón de Chirel Rioja Reserva 2015,4.4,757,76.0,Rioja
Costers del Siurana,2012,738148,Clos de L'Obac 2012,4.3,28,76.23,Priorato
Familia Torres,2018,1161798,Mas La Plana Cabernet Sauvignon 2018,4.3,135,76.5,Penedès
Viñas del Vero,2014,1215527,Blecua Somontano 2014,4.4,57,76.95,Somontano
Tinto Pesquera,2015,7101248,Millenium Gran Reserva 2015,4.5,359,77.5,Ribera del Duero
Costers del Siurana,2009,738156,Miserere 2009,4.2,33,77.5,Priorato
Coruna del Conde,2004,1681369,Alberto López Calvo 2004,4.1,28,78.0,Castilla y León
Mas Doix,2018,23505,Doix 2018,4.3,48,78.5,Priorato
Scala Dei,2017,1582322,St Antoni de Scala Dei Priorat 2017,4.5,40,78.9,Priorato
Real de Asúa,2018,1869193,Tinto 2018,4.3,30,79.15,Rioja
Gómez Cruzado,2011,1899478,Viña Motulleri 2011,4.6,62,79.49,Rioja
Remírez de Ganuza,2014,99584,Trasnocho 2014,4.4,213,79.6,Rioja
Costers del Siurana,2009,738148,Clos de L'Obac 2009,4.4,56,79.9,Priorato
Mas Doix,2017,23505,Doix 2017,4.4,83,79.9,Priorato
Huerta de Albala,2013,4387135,Taberner No. 1 2013,4.6,34,79.9,Cádiz
Bodegas Valduero,2011,9159380,Tierra Alta de 2 Racimos Gran Reserva 2011,4.6,112,79.95,Ribera del Duero
Bodegas Faustino,1987,2061837,I Gran Reserva 1987,4.1,347,80.0,Rioja
La Vinya del Vuit,2014,5479950,La Vinya del Vuit (8) 2014,4.3,31,80.0,Priorato
Artadi,2016,5805405,La Morera de San Lázaro 2016,4.3,37,80.0,Vino de España
Marqués de Riscal,1976,1163903,Rioja Reserva 1976,4.0,30,80.0,Rioja
Dominio de Es,2017,2022997,Viñas Viejas de Soria Ribera Del Duero 2017,4.5,110,80.75,Ribera del Duero
Clos Mogador,2019,2162093,Priorat 2019,4.5,180,80.85,Priorato
Sierra Cantabria,2014,3293391,Finca el Bosque 2014,4.4,166,80.95,Rioja
Arzuaga,2016,7921,Gran Reserva Ribera del Duero 2016,4.4,41,80.98,Ribera del Duero
Arzuaga,2015,7921,Gran Reserva Ribera del Duero 2015,4.5,265,80.99,Ribera del Duero
Scala Dei,2016,4156560,Masdeu 2016,4.3,79,81.35,Priorato
Bodegas Valduero,2012,23111,Ribera Del Duero Gran Reserva 2012,3.9,35,82.45,Ribera del Duero
Mustiguillo,2019,99556,Quincha Corral 2019,4.6,29,82.5,El Terrerazo
Clos Mogador,2017,1188549,Manyetes 2017,4.4,71,82.58,Priorato
Alión,2018,77171,Ribera del Duero 2018,4.6,879,82.9,Ribera del Duero
Viña Sastre,2015,736588,Pago de Santa Cruz 2015,4.5,438,82.95,Ribera del Duero
Gómez Cruzado,2018,4883493,Pancrudo 2018,4.2,164,83.5,Rioja
Bodegas Naluar & Acediano,2014,2298357,Acediano 2014,4.5,88,84.0,Ribera del Duero
Viña Sastre,2015,3880023,Pago de Santa Cruz Gran Reserva Ribera del Duero 2015,4.4,125,84.1,Ribera del Duero
Remírez de Ganuza,2015,99584,Trasnocho 2015,4.5,82,84.25,Rioja
Sierra Cantabria,2017,3293391,Finca el Bosque 2017,4.5,121,84.36,Rioja
Sierra Cantabria,2016,1221009,Amancio 2016,4.3,94,84.5,Rioja
Scala Dei,2013,4156560,Masdeu 2013,4.3,250,84.9,Priorato
Álvaro Palacios,2018,67084,Finca Dofí 2018,4.3,392,84.9,Priorato
Viña Pomal,2015,1503752,Alto de la Caseta 2015,4.4,59,84.9,Rioja
Álvaro Palacios,2019,67084,Finca Dofí 2019,4.3,178,84.9,Priorato
Tinto Pesquera,2004,19481,Reserva 2004,4.2,699,85.0,Ribera del Duero
Emilio Moro,2018,11605,Malleolus de Valderramiro 2018,4.5,183,85.0,Ribera del Duero
Clos Mogador,2018,1188549,Manyetes 2018,4.3,42,85.15,Priorato
Matarromera,2014,2021425,Gran Reserva 2014,4.5,73,85.2,Ribera del Duero
Aalto,2019,1129282,PS (Pagos Seleccionados) Ribera del Duero 2019,4.6,2012,85.25,Ribera del Duero
Marqués de Murrieta,2017,1324170,Dalmau Rioja 2017,4.6,351,85.7,Rioja
Hacienda Monasterio,2016,100292,Reserva Especial 2016,4.6,80,86.5,Ribera del Duero
Sierra Cantabria,2018,1221009,Amancio 2018,4.6,30,86.5,Rioja
Marqués de Murrieta,2010,1175180,Gran Reserva Rioja (Finca Ygay) 2010,4.2,655,86.95,Rioja
Nin-Ortiz,2017,1289986,Nit de Nin Mas d'en Caçador 2017,4.4,121,87.72,Priorato
Pintia,2013,77172,Toro 2013,4.4,5288,87.85,Toro
Sierra Cantabria,2018,3293391,Finca el Bosque 2018,4.5,103,87.89,Rioja
Bodegas Mas Alta,2017,83823,La Creu Alta 2017,4.6,51,87.95,Priorato
Cims de Porrera,1999,1191215,Clàssic 1999,4.2,125,88.25,Priorato
Bodegas Mauro,2018,1126965,Terreus Paraje de Cueva Baja 2018,4.6,173,88.5,Castilla y León
Sierra Cantabria,2017,1221009,Amancio 2017,4.6,61,88.77,Rioja
El Regajal,2016,7226014,Galia Clos Santuy 2016,4.5,33,89.0,Castilla y León
Comando G,2016,1487559,La Mujer Cañón 2016,4.1,32,89.25,Madrid
Arínzano,2010,1622324,Gran Vino Tinto 2010,4.2,81,89.54,Arínzano
Castillo Perelada,2015,99351,Finca Garbet 2015,4.5,48,89.9,Empordà
Bodegas Mauro,2019,1126965,Terreus Paraje de Cueva Baja 2019,4.6,83,89.9,Castilla y León
Mas Doix,2016,23505,Doix 2016,4.3,95,89.9,Priorato
Pintia,2012,77172,Toro 2012,4.4,5659,89.9,Toro
Mustiguillo,2016,99556,Quincha Corral 2016,4.4,162,89.9,El Terrerazo
Sierra Cantabria,2015,1221009,Amancio 2015,4.6,167,89.95,Rioja
Dominio de Atauta,2010,1784091,Valdegatiles Ribera del Duero 2010,4.2,41,89.95,Ribera del Duero
Señorío de San Vicente,2000,1173140,San Vicente Rioja 2000,4.2,40,90.0,Rioja
Bodegas Faustino,1982,1386795,V Reserva 1982,3.7,27,90.0,Rioja
Protos,1994,1132696,Reserva 5 Año 1994,4.2,37,90.0,Ribera del Duero
Monte Real,1975,1424455,Gran Reserva 1975,4.0,34,90.0,Rioja
Remírez de Ganuza,2012,99588,Gran Reserva 2012,4.4,54,91.3,Rioja
Hacienda Monasterio,2015,100292,Reserva Especial 2015,4.6,98,91.85,Ribera del Duero
Viña Sastre,2015,736555,Regina Vides Ribera del Duero 2015,4.5,169,92.8,Ribera del Duero
Comando G,2014,2510756,Reina de los Deseos 2014,4.1,89,93.45,Madrid
Bodegas Roda,2016,1176488,Sela Rioja 2016,3.9,1017,93.5,Rioja
Alión,2017,77171,Ribera del Duero 2017,4.6,2970,93.7,Ribera del Duero
Viña Sastre,2014,736588,Pago de Santa Cruz 2014,4.4,504,94.0,Ribera del Duero
Allende,2011,77132,Calvario Rioja 2011,4.0,27,94.2,Rioja
