Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Palacio de Bornos,2020,1718779,Vaya Pasada Verdejo 2020,3.5,80,5.9,Rueda
Hacienda López de Haro,2019,3415961,Blanco 2019,3.5,89,5.9,Rioja
Blume,2021,8682578,Verdejo Selección 2021,3.5,71,5.9,Rueda
Finca Nueva,2018,1843267,Viura 2018,3.5,37,5.9,Rioja
Bienbebido,2017,2166959,Come Pulpo y Bebe Vino 2017,3.4,172,5.9,Vino de España
Campo Viejo,2020,4689547,Viura - Tempranillo Blanco 2020,3.6,359,5.9,Rioja
Cuatro Rayas,2021,8308011,Vendimia Nocturna Sauvignon 2021,3.7,52,5.9,Rueda
Volver,2021,5479887,Tarima Mediterráneo 2021,3.8,28,5.9,Alicante
Cuatro Rayas,2021,8761218,Vendimia Nocturna Verdejo 2021,3.7,177,5.9,Rueda
Baron de Ley,2020,21582,Blanco 2020,3.7,138,5.9,Rioja
Bodegas Arraez,2020,6580210,Canallas Merseguera - Moscatel 2020,3.5,180,5.9,Valencia
Bodegas Cosme Palacio,2020,2447705,Milflores Rioja Blanco 2020,3.2,28,5.9,Rioja
Equilibrio,2020,7409287,Sauvignon Blanc 2020,3.7,73,5.9,Jumilla
El Miracle,2020,8031308,No. 03 Blanco 2020,3.5,123,5.95,Valencia
Viña Mayor,2021,1937789,Rueda Verdejo 2021,3.9,313,5.95,Rueda
Bodega Emina,2021,78474,Verdejo 2021,3.4,40,5.95,Rueda
Bodegas Olarra,2021,1664296,Añares Terra Nova Verdejo 2021,3.7,63,5.95,Rueda
Perez Barquero,2021,8236999,Finca la Cañada Albarizas Verdejo 2021,3.6,51,5.95,Montilla-Moriles
Bodegas Torre del Veguer,2018,7026150,Like! 2018,3.5,69,5.95,Penedès
Segura Viudas,2018,2024307,Xarel-lo 2018,3.3,174,5.95,Penedès
Pinord,2020,13073,Penedès Blanc de Blancs Clos de Torribas 2020,3.4,62,5.95,Penedès
Palacio de Bornos,2021,1718779,Vaya Pasada Verdejo 2021,3.6,42,5.95,Rueda
Cuatro Rayas,2019,1422412,Verdejo 2019,3.6,364,5.95,Rueda
Cuatro Rayas,2020,8308011,Vendimia Nocturna Sauvignon 2020,3.7,118,5.95,Rueda
Cuatro Rayas,2020,8761218,Vendimia Nocturna Verdejo 2020,3.7,299,5.95,Rueda
Carlos Moro,2019,5805134,Oinoz Verdejo 2019,3.6,141,5.95,Rueda
Bodega Otto Bestué,2021,1245634,Chardonnay 2021,3.7,47,5.95,Somontano
Tampesta,2017,1911817,Maneki Albarín Blanco 2017,3.6,47,5.95,Tierra de León
Marqués de Cáceres,2020,2405791,Rueda Verdejo 2020,3.8,1520,5.99,Rueda
Rippa Dorii,2021,10523151,Verdejo 2021,4.0,121,5.99,Rueda
Equilibrio,2019,7409287,Sauvignon Blanc 2019,4.0,51,5.99,Jumilla
Izadi,2020,7536768,Larrosa Blanc 2020,3.8,50,6.0,Rioja
Estancia Piedra,2021,2002502,Verdejo 2021,3.9,47,6.0,Rueda
Bernavi,2019,7252500,Xalera Blanco 2019,3.8,88,6.0,Terra Alta
La Maldita,2020,5727535,Garnacha Blanca 2020,3.9,129,6.0,Rioja
Estancia Piedra,2020,2002502,Verdejo 2020,3.9,45,6.0,Rueda
Palacio de Bornos,2021,1101156,Verdejo 2021,3.7,195,6.05,Rueda
Celler de Capçanes,2021,1764424,Mas Donis Blanc 2021,3.8,28,6.1,Montsant
Bodegas Félix Lorenzo Cachazo,2021,1784490,Carrasviñas Rueda Verdejo 2021,4.0,141,6.1,Rueda
Gran Feudo,2018,1136073,Chardonnay 2018,3.5,116,6.1,Navarra
Shaya,2020,1288726,Arindo 2020,3.7,54,6.12,Rueda
Castillo de Maetierra,N.V.,5449951,Libalis Frizz 5.5 N.V.,3.8,417,6.15,Valles de Sadacia
Bodega Emina,2020,2411048,Sauvignon Blanc 2020,3.8,41,6.2,Rueda
Viña Albina,2019,10341,Semidulce 2019,3.7,36,6.2,Rioja
Matarromera,2021,78478,Melior Verdejo 2021,3.6,99,6.25,Rueda
Tres Pilares,2021,2617363,Verdejo 2021,3.8,32,6.25,Rueda
Mocen,2021,1708037,Selección Especial Verdejo 2021,4.1,212,6.25,Rueda
Marqués de Cáceres,2021,7287751,Excellens Verdejo 2021,3.9,87,6.26,Rueda
Marqués de la Concordia,2019,1223704,Vega de La Reina Verdejo 2019,3.8,598,6.26,Rueda
Bodegas Faustino,2020,7169684,Art Collection Viura - Chardonnay 2020,3.4,46,6.29,Rioja
Alcorta,2021,6622012,Atrevido Verdejo 2021,3.6,47,6.3,Rueda
Alcorta,2020,6622012,Atrevido Verdejo 2020,3.5,98,6.3,Rueda
Bodega Pirineos,2020,1110216,Chardonnay - Gewürztraminer - Sauvignon Blanc 2020,3.5,40,6.3,Somontano
Oliver Conti,2020,6362020,Indispensable Blanc 2020,3.6,151,6.3,Empordà
Montespina,2020,2482875,Verdejo 2020,3.8,419,6.3,Rueda
Montespina,2020,1139309,Sauvignon 2020,3.7,113,6.3,Rueda
Montespina,2021,1139309,Sauvignon 2021,3.8,52,6.3,Rueda
Yllera,2021,2324568,Verdejo Vendimia Nocturna 2021,3.6,107,6.3,Rueda
Cuatro Rayas,2021,4386804,Cuarenta Vendimias Verdejo 2021,3.7,121,6.3,Rueda
Mas Foraster,2020,4946532,Josep Foraster els Nanos Blanc del Coster 2020,3.5,54,6.3,Conca de Barberà
Montespina,2021,2482875,Verdejo 2021,3.7,132,6.3,Rueda
Castell del Remei,2020,2123180,Gotim Blanc 2020,3.7,186,6.31,Costers del Segre
Marina Alta,2020,1898035,Gran Selección Blanco 2020,4.0,876,6.32,Alicante
Pago del Cielo,2021,8456772,Celeste Verdejo 2021,3.9,240,6.345,Rueda
Valcarlos,2016,1994774,Fortius Blanco Chardonnay 2016,3.6,96,6.35,Navarra
Luis Cañas,2020,6139558,Rioja Blanco 2020,3.5,91,6.38,Rioja
Familia Torres,2021,1181510,Verdeo Verdejo 2021,3.7,207,6.39,Rueda
Vivanco,2020,1250389,Rioja Blanco 2020,3.7,171,6.4,Rioja
El Casetero,2018,5498431,Macabeo Campo de Borja 2018,3.5,234,6.4,Campo de Borja
Agusti Torello Mata,2020,2286576,Xic Xarel-lo 2020,3.6,145,6.4,Penedès
Espelt,2021,96023,Vailet 2021,3.5,38,6.41,Empordà
Bodegas Piqueras,2020,5650169,Wild Fermented Verdejo 2020,3.8,378,6.45,Almansa
Ramón Bilbao,2021,3085613,Verdejo Rueda 2021,3.9,444,6.45,Rueda
Bodegas Fontana,2021,2471806,Oveja Blanca Dry Muscat 2021,4.1,67,6.45,Uclés
Álvarez y Díez,2019,2175367,Luna Blanca Verdejo 2019,3.7,30,6.47,Rueda
Castillo de Monjardin,2021,10123380,Chardonnay 2021,3.7,46,6.47,Navarra
Álvarez y Díez,2021,1409922,Mantel Blanco Verdejo 2021,3.8,121,6.48,Rueda
De Moya,2021,4298742,Tibó Blanco 2021,3.9,38,6.5,Valencia
J. Fernando,2020,7526420,Verdejo 2020,3.6,115,6.5,Rueda
Legaris,2019,1145681,Rueda Verdejo 2019,3.6,318,6.5,Rueda
Singulares,2021,1191380,Afortunado Verdejo Rueda 2021,3.9,129,6.5,Rueda
Bodega Sommos,2021,9742497,Chardonnay Roble 2021,3.6,49,6.5,Somontano
Moacin,2020,2513537,Alto Acín Seleccion Verdejo 2020,3.6,42,6.5,Rueda
Batán de Salas de Beroz,2019,2307983,Esencia de Gewürz 2019,3.9,28,6.5,Somontano
Viña Zorzal,2021,2258546,Chardonnay 2021,3.5,45,6.5,Navarra
Bruno Murciano,2019,9463434,Pieles Doradas 2019,3.5,71,6.5,Valencia
Blanco Nieva,2019,1148924,Verdejo 2019,3.8,75,6.5,Rueda
Bodegas Carramimbre,2021,1154406,Carramimbre Verdejo 2021,4.0,65,6.5,Rueda
Vetus,2020,1254309,Flor de Vetus Verdejo 2020,3.8,459,6.52,Rueda
Mas Llunes,2021,5297717,Maragda Blanc 2021,3.8,26,6.53,Empordà
Pazo Das Tapias,2021,1896184,Alma de Blanco 2021,3.7,60,6.54,Monterrei
Segura Viudas,2020,2024307,Xarel-lo 2020,3.4,39,6.55,Penedès
Castillo Perelada,2021,2266213,Només Garnatxa Blanca 2021,3.8,69,6.56,Empordà
Viña Zorzal,2019,3072826,Garnacha Blanca 2019,3.6,78,6.57,Navarra
Altanza,2021,5498357,La Niña de Mis Ojos 2021,3.6,30,6.57,Rioja
Bodegas Fontana,2020,3885303,Dominio de Fontana Sauvignon Blanc - Verdejo 2020,3.8,145,6.59,Uclés
Martí Fabra,2020,1268277,Verd Albera Empordà 2020,3.9,126,6.6,Empordà
Altos de Orihuela,2019,9098290,Blanco Sobre Lías 2019,3.7,43,6.65,Alicante
Wineissocial,2020,6306760,Perplejo Verdejo 2020,3.9,80,6.65,Rueda
Oroya,2020,1220384,Oroya Created For Sushi 2020,3.5,43,6.69,Castilla y León
Castell del Remei,2021,2123180,Gotim Blanc 2021,3.6,73,6.7,Costers del Segre
Bodegas Javier San Pedro Ortega,2021,2692574,Anahí 2021,3.8,50,6.7,Rioja
Castillo Perelada,2021,6779,Empordà Cigonyes Blanco 2021,3.7,76,6.75,Empordà
Legaris,2020,1145681,Rueda Verdejo 2020,3.7,422,6.75,Rueda
