Bodega,Año,Vino_ID,Vino,Rating,Nº_reseñas,Precio,Región
Freixenet,N.V.,5042,Cava Brut Rosé N.V.,3.5,537,7.99,Penedès
Freixenet,N.V.,5609225,Cuvée Especial Ice Rosé N.V.,3.8,1766,8.0,Cava
Castillo Perelada,2013,2040362,Cava Brut Nature Chardonnay 2013,3.4,27,8.05,Cataluña
Castillo Perelada,2019,3113689,Cava Brut Stars Touch Of Rosé 2019,4.0,36,8.25,Cava
Freixenet,N.V.,4303295,Ice Cuvée Especial N.V.,3.7,4238,8.25,Cava
Vallformosa,2012,2013228,Origen Brut 2012,3.5,89,8.35,Cava
Lolea,N.V.,1930395,No. 1 Red Sangria Frizzante N.V.,4.1,2059,8.5,Aragón
Lolea,N.V.,2157364,No. 2 White Sangria Frizzante N.V.,3.9,1584,8.5,Aragón
La Mundial Barcelona,N.V.,6314339,Clarea Frizzante N.V.,4.0,105,8.8,Cataluña
La Mundial Barcelona,N.V.,9286232,Rosalea Frizzante N.V.,4.1,49,8.8,Cataluña
Oriol Rossell,2019,2379878,Cava Cuvée Especial Brut 2019,3.7,25,8.8,Cava
Miquel Jané,2016,5873311,Clàssic Penedès Sauvignon Blanc Brut Nature 2016,3.7,32,8.9,Penedès
Bodegas Martín Códax,N.V.,9585187,Alma Atlántica Atlantic Bubbles Mencía Rosé N.V.,3.9,145,8.9,Galicia
Bodegas Martín Códax,N.V.,4734432,Alma Atlántica Atlantic Bubbles Albariño N.V.,3.9,849,8.9,Rías Baixas
Oriol Rossell,,1750566,Cava Brut Nature ,3.6,206,8.93,Cava
Balmoral,2018,1853409,Edoné Cuvée De Marìa 2018,3.5,257,8.95,Castilla
Castell del Remei,N.V.,1610998,Brut Nature N.V.,3.5,186,8.95,Cava
Anna de Codorniu,N.V.,1223535,Brut Rosé (Pink) N.V.,3.6,2899,8.95,Cava
Casanovas,N.V.,1199264,Brut de Brut Nature N.V.,3.7,537,8.95,Cava
Entre Vinyes,2021,8456751,Oníric Pet-Nat 2021,3.8,197,8.95,Penedès
Espelt,N.V.,1431107,Escuturit Cava Brut Rosé N.V.,3.5,36,8.99,Cava
Espelt,N.V.,2343859,Escuturit Cava Brut Nature N.V.,3.3,147,8.99,Cava
Mistinguett,N.V.,1913422,Cava Brut Rosé N.V.,3.3,912,9.06,Cava
Roger Goulart,2018,2037918,Cava Reserva Brut 2018,3.8,422,9.1,Cava
Manuel Manzaneque Suárez,N.V.,6910918,Paloma Minguez Cava Brut Ecológico N.V.,3.9,162,9.24,Cava
Ondarre,N.V.,1220554,Cava Seleccion Millenium Brut N.V.,3.4,184,9.25,Cava
Francesc Ricart,N.V.,2893039,Cava Brut Reserva N.V.,3.7,100,9.25,Cava
Els Vinyerons,2020,6923376,Cava Pregadéu Xarel-Lo Brut Nature 2020,4.0,105,9.35,Cava
Mas Bertran,2015,1653077,Balma Reserva Brut Nature 2015,3.8,75,9.35,Penedès
Roger Goulart,2018,1217591,Cava Brut Rosé 2018,3.6,267,9.39,Cava
Canals & Munné,2018,2623126,Cava Insuperable Brut Reserva 2018,3.7,69,9.4,Cava
Canals & Munné,2019,2623126,Cava Insuperable Brut Reserva 2019,3.9,30,9.4,Cava
Signat,N.V.,2089098,Cava Brut Nature N.V.,3.6,128,9.44,Cava
AA Privat,2019,2397838,Reserva Brut Nature 2019,3.6,473,9.44,Cava
Roger Goulart,2018,5159591,Cava Coral Brut Rosé 2018,3.7,289,9.45,Cava
Codorníu,N.V.,1925075,Ecologica Cava Brut N.V.,3.3,2459,9.47,Cava
Roger Goulart,2019,1217591,Cava Brut Rosé 2019,3.7,335,9.5,Cava
U MES U,N.V.,2445552,Cava Cygnus Albireo Orgànic Brut N.V.,3.6,506,9.5,Cava
Palacio de Bornos,N.V.,2045069,Verdejo Brut Nature N.V.,3.5,106,9.5,Rueda
Loxarel,2017,2608391,Amaltea Brut Nature Reserva 2017,3.8,38,9.5,Penedès
Mont-Ferrant,N.V.,1178301,Cava Reserva Brut N.V.,3.6,462,9.55,Cava
Bodega Bruno Ruiz - Esencia Rural,2020,7777845,Pampaneo Ancestral 2020,3.7,74,9.6,Castilla
VallDolina,N.V.,1534852,Cava Reserva Eco N.V.,3.5,359,9.6,Cava
Sumarroca,2019,1179142,Cava Brut Reserva 2019,3.8,538,9.65,Cava
Oliver Viticultors,2017,2047415,Cava Sadurní Oliver Reserva Brut Nature 2017,3.9,36,9.68,Cataluña
Particular,N.V.,5106837,Blanc de Noir Cava Brut Nature N.V.,3.8,188,9.8,Cava
Mistinguett,N.V.,1640624,Cava Brut Nature N.V.,3.3,310,9.8,Cava
Anna de Codorniu,N.V.,2683336,Blanc de Noirs Brut N.V.,3.6,1580,9.8,Cava
Castillo Perelada,2016,1253307,Cava Brut Nature Cuvée Especial 2016,3.7,58,9.9,Cava
Loxarel,2015,5554392,999 Brut Nature Reserva 2015,3.4,38,9.9,Penedès
AA Privat,2020,2397838,Reserva Brut Nature 2020,3.5,33,9.9,Cava
Mistinguett,N.V.,2368033,Cava Brut N.V.,3.5,2074,9.95,Cava
Rimarts,2019,2423083,Cava Reserva 18 Brut 2019,3.9,43,9.95,Cava
Parxet,2019,76638,Cava Cuvée 21 Brut 2019,4.0,118,9.95,Cava
Can Ràfols dels Caus,N.V.,2299670,Terraprima Brut Cava Reserva N.V.,3.7,51,9.98,Cava
Vegamar,N.V.,7920247,Ancestral Blanco N.V.,3.7,42,10.0,Valencia
Parés Baltà,N.V.,1137008,Brut Cava N.V.,3.5,3051,10.05,Cava
Vallformosa,2018,1360267,Col·lecció Brut Reserva 2018,3.8,62,10.15,Cava
Clos Lentiscus,2017,2643603,Greco di Subur Blanc de Blancs Brut Nature 2017,3.9,54,10.17,Penedès
Jané Ventura,2018,2208810,Reserva de la Música Brut Nature 2018,3.7,35,10.2,Cava
Santa Margarita,N.V.,5127487,Euforia Blue Frizzante N.V.,2.7,59,10.25,Castilla y León
Joan Sardà,N.V.,2161385,Cava Brut Reserva N.V.,3.5,241,10.25,Cava
Freixenet,2015,1646169,Cava Cuvee D.S. de Prestige Gran Reserva Brut 2015,3.9,88,10.45,Cava
Agusti Torello Mata,2018,1174061,Cava Reserva Brut 2018,3.9,327,10.49,Cava
Paco & Lola,N.V.,2730973,Cava Brut N.V.,3.8,339,10.5,Cava
Villa Conchi,N.V.,1285851,Cava Brut Selección N.V.,3.7,8893,10.5,Cava
Canals Canals,2019,4951510,Cava Reserva Numerada 2019,4.1,36,10.5,Cava
Castelo de Pedregosa,2020,9670268,MI Pet-Nat 2020,3.8,33,10.5,Cataluña
Juvé & Camps,,1172358,Cava Reserva Brut Cinta Purpura ,3.7,6345,10.73,Cava
Sota els Àngels,2019,4540745,Flow Blanc de Noirs 2019,3.8,91,10.76,Empordà
Parxet,2018,2013261,Cava Reserva Brut 2018,3.9,51,10.85,Cava
Mont-Ferrant,N.V.,6889128,La Senyora Brut Nature N.V.,3.7,291,10.9,Cava
Miquel Pons,2015,1394624,Cava Gran Reserva Vintage Brut Nature 2015,4.1,63,10.9,Cava
Mas Comtal,2016,2706952,Clàssic Penedès Brut Reserva 2016,3.7,42,10.9,Penedès
Freixenet,N.V.,1199855,Elyssia Pinot Noir Brut N.V.,3.7,2352,10.9,Cava
Codorníu,2018,2069247,Non Plus Ultra Brut Cava 2018,3.7,161,10.95,Cava
Bohigas,N.V.,1366680,Cava Rosat N.V.,3.6,515,10.95,Cava
Roger Goulart,2018,2356271,Cava Reserva Brut Nature 2018,3.8,27,10.95,Cava
Roger Goulart,2017,2356271,Cava Reserva Brut Nature 2017,4.0,93,10.95,Cava
Parés Baltà,N.V.,2393529,Brut Nature Cava N.V.,3.6,649,10.95,Cava
Joan Sardà,N.V.,2174996,Cava Brut Nature Reserva N.V.,3.6,69,11.15,Cava
Joan Sardà,N.V.,6437617,Cava Brut Rosé Reserva N.V.,4.0,31,11.15,Cava
Alta Alella,2017,8081916,Mirgin Gran Reserva Brut Nature 2017,3.7,32,11.25,Cava
Alta Alella,2018,5252265,Mirgin Reserva Brut Nature Rosé 2018,3.9,85,11.25,Cava
Bohigas,N.V.,1229249,Reserva Cava Brut N.V.,3.8,3801,11.25,Cava
